YYYYMMDD;   TG;   TN;   TX
19951001;111;79;158
19951002;127;87;151
19951003;133;112;154
19951004;147;131;171
19951005;137;127;158
19951006;138;119;158
19951007;150;138;159
19951008;155;140;180
19951009;148;106;175
19951010;149;96;194
19951011;145;122;158
19951012;149;145;154
19951013;145;137;156
19951014;149;134;174
19951015;145;113;165
19951016;143;133;161
19951017;148;131;162
19951018;129;96;160
19951019;135;115;149
19951020;127;100;149
19951021;98;35;128
19951022;90;73;103
19951023;105;80;121
19951024;133;110;158
19951025;133;118;150
19951026;122;103;138
19951027;127;86;167
19951028;88;32;135
19951029;75;14;119
19951030;66;2;121
19951031;118;87;141
